City,Company,Size,Type,Revenue,Headquarter,Founded,Industry,Job,Internship,Base_Pay,Low,25_%,75_%,High,Additional_Pay_Avg,Cash_Bonus,Stock_Bonus,Total_Pay,Confidence,Reviews,Jobs,Salaries,Interviews,Benefits
"Baltimore, MD",Booz Allen Hamilton,10000+ Employees,Company - Public (BAH),$5 to $10 billion (USD),"McLean, VA",1914.0,Consulting,"Booz Allen Hamilton Data Scientist Salaries in Baltimore, MD Area",0,"$127,210",$80K,$101K,$151K,$230K,"$10,595","$10,595 Avg","$10,595 Avg","$129,704",Very High Confidence,6.5k,2.7k,16k,1.7k,2.0k
"Baltimore, MD",Booz Allen Hamilton,10000+ Employees,Company - Public (BAH),$5 to $10 billion (USD),"McLean, VA",1914.0,Consulting,"Booz Allen Hamilton Data Scientist Salaries in Baltimore, MD Area",0,"$127,210",$80K,$101K,$151K,$230K,"$10,595","$10,595 Avg","$10,595 Avg","$129,704",Very High Confidence,6.5k,2.7k,16k,1.7k,2.0k
"Baltimore, MD",US Department of Defense,10000+ Employees,Government,$10+ billion (USD),"Washington, DC",1947.0,Aerospace & Defense,"US Department of Defense Data Scientist Salaries in Baltimore, MD Area",0,"$89,206",$73K,$81K,$108K,$126K,"$2,224","$2,224 Avg","$2,224 Avg","$89,206",Very High Confidence,3.2k,97,6.9k,289,997
"Baltimore, MD",Nielsen,10000+ Employees,Company - Public (NLSN),$5 to $10 billion (USD),"New York, NY",1923.0,Enterprise Software & Network Solutions,"Nielsen Data Scientist Salaries in Baltimore, MD Area",0,"$85,646",$75K,$82K,$90K,$108K,0,0,0,"$85,646",Very High Confidence,7.5k,713,11k,1.8k,2.2k
"Baltimore, MD",Blend360,51 to 200 Employees,Company - Private,Unknown / Non-Applicable,"Columbia, MD",2002.0,Consulting,"Blend360 Data Scientist Salaries in Baltimore, MD Area",0,"$70,119",$66K,$68K,$83K,$94K,"$4,339","$4,339 Avg","$4,339 Avg","$73,355",Very High Confidence,52,72,74,22,43
"Baltimore, MD",Northrop Grumman,10000+ Employees,Company - Public (NOC),$10+ billion (USD),"Falls Church, VA",1939.0,Aerospace & Defense,"Northrop Grumman Data Scientist Salaries in Baltimore, MD Area",0,"$108,605",$101K,$104K,$143K,$152K,0,0,0,"$108,605",Very High Confidence,7.8k,3.6k,19k,1.7k,2.2k
"Baltimore, MD",National Security Agency,Unknown,Government,Unknown / Non-Applicable,"Fort George G Meade, MD",,Federal Agencies,"National Security Agency Data Scientist Salaries in Baltimore, MD Area",0,"$86,430",$77K,$81K,$96K,$105K,0,0,0,"$86,430",High Confidence,266,80,505,113,86
"Baltimore, MD",Amobee,501 to 1000 Employees,Company - Private,$500 million to $1 billion (USD),"Redwood City, CA",2005.0,Advertising & Marketing,"Amobee Data Scientist Salaries in Baltimore, MD Area",0,"$107,829",$106K,$106K,$127K,$134K,"$10,093","$10,093 Avg","$10,093 Avg","$112,386",High Confidence,343,157,615,101,162
"Baltimore, MD",CGI,10000+ Employees,Company - Public (GIB),$10+ billion (USD),"Montreal, Canada",1976.0,Consulting,"CGI Data Scientist Salaries in Baltimore, MD Area",0,"$70,000 - $105,312",0,0,0,0,0,0,0,0,High Confidence,11k,6.1k,25k,2.3k,3.2k
"Baltimore, MD",PayPal,10000+ Employees,Company - Public (PYPL),$10+ billion (USD),"San Jose, CA",1998.0,Internet,"PayPal Data Scientist Salaries in Baltimore, MD Area",0,"$103,436 - $123,220",0,0,0,0,"$6,161",0,0,0,High Confidence,5.2k,2.7k,11k,1.4k,2.1k
"Baltimore, MD",Lockheed Martin,10000+ Employees,Company - Public (LMT),$10+ billion (USD),"Bethesda, MD",1995.0,Aerospace & Defense,"Lockheed Martin Data Scientist Salaries in Baltimore, MD Area",0,"$110,516 - $118,684",0,0,0,0,0,0,0,0,Low Confidence,9.2k,4.1k,23k,2.2k,2.7k
"Baltimore, MD",Leidos,10000+ Employees,Company - Public (LDOS),$10+ billion (USD),"Reston, VA",1969.0,Aerospace & Defense,"Leidos Data Scientist Salaries in Baltimore, MD Area",0,"$145,598 - $184,477",0,0,0,0,0,0,0,0,Low Confidence,2.6k,5.4k,9.4k,457,788
"Baltimore, MD",United States Federal Government,1001 to 5000 Employees,Government,Unknown / Non-Applicable,"Washington, DC",,Federal Agencies,"United States Federal Government Data Scientist Salaries in Baltimore, MD Area",0,"$81,067 - $92,980",0,0,0,0,0,0,0,0,Low Confidence,2.8k,12,5.8k,206,1.1k
"Baltimore, MD",Johns Hopkins University Applied Physics Laboratory,5001 to 10000 Employees,Nonprofit Organization,$1 to $2 billion (USD),"Laurel, MD",1942.0,Aerospace & Defense,"Johns Hopkins University Applied Physics Laboratory Data Scientist Salaries in Baltimore, MD Area",0,"$97,956 - $128,838",0,0,0,0,0,0,0,0,Low Confidence,733,328,1.5k,182,272
"Baltimore, MD",McCormick & Company,10000+ Employees,Company - Public (MKC),$5 to $10 billion (USD),"Hunt Valley, MD",1889.0,Food & Beverage Manufacturing,"McCormick & Company Data Scientist Salaries in Baltimore, MD Area",0,"$90,984 - $137,915",0,0,0,0,"$15,956",0,0,0,Low Confidence,445,591,642,82,112
"Baltimore, MD",StoCastic,0,0,0,0,0.0,0,"StoCastic Data Scientist Salaries in Baltimore, MD Area",0,"$72,712 - $80,765",0,0,0,0,0,0,0,0,Low Confidence,0,0,4,0,0
"Baltimore, MD",Cisco Systems,10000+ Employees,Company - Private,$10+ billion (USD),"San Jose, CA",1984.0,Computer Hardware & Software,"Cisco Systems Data Scientist Salaries in Baltimore, MD Area",0,"$122,675 - $132,975",0,0,0,0,0,0,0,0,Low Confidence,25k,756,55k,4.6k,9.2k
"Baltimore, MD",PwC,10000+ Employees,Company - Private,$5 to $10 billion (USD),"New York, NY",1998.0,Accounting,"PwC Data Scientist Salaries in Baltimore, MD Area",0,"$112,796 - $122,953",0,0,0,0,0,0,0,0,Low Confidence,48k,15k,90k,13k,9.5k
"Baltimore, MD",Accenture,10000+ Employees,Company - Public (ACN),$10+ billion (USD),"Dublin, Ireland",1989.0,Consulting,"Accenture Data Scientist Salaries in Baltimore, MD Area",0,"$120,001 - $132,133",0,0,0,0,"$2,019",0,0,0,Low Confidence,95k,25k,135k,19k,24k
"Baltimore, MD",US Navy,1001 to 5000 Employees,Government,$2 to $5 billion (USD),"San Diego, CA",1775.0,Federal Agencies,"US Navy Data Scientist Salaries in Baltimore, MD Area",0,"$76,410 - $82,801",0,0,0,0,0,0,0,0,Low Confidence,20k,0,27k,1.2k,8.0k
"Baltimore, MD",LinkedIn,10000+ Employees,Subsidiary or Business Segment,$5 to $10 billion (USD),"Sunnyvale, CA",2003.0,Internet,"LinkedIn Data Scientist Monthly Pay in Baltimore, MD Area",0,"$2,909 - $3,139",0,0,0,0,0,0,0,0,Low Confidence,4.5k,30,9.2k,2.1k,1.6k
"Baltimore, MD",General Dynamics Information Technology,10000+ Employees,Subsidiary or Business Segment,$2 to $5 billion (USD),"Fairfax, VA",1996.0,IT Services,"General Dynamics Information Technology Data Scientist Salaries in Baltimore, MD Area",0,"$118,787 - $129,474",0,0,0,0,0,0,0,0,Low Confidence,3.0k,2.7k,7.3k,426,854
"Baltimore, MD",Philips,10000+ Employees,Company - Public (PHG),$10+ billion (USD),"Cambridge, MA",1891.0,Health Care Services & Hospitals,"Philips Data Scientist Salaries in Baltimore, MD Area",0,"$126,401 - $135,468",0,0,0,0,0,0,0,0,Low Confidence,7.7k,2.6k,13k,1.6k,2.4k
"Baltimore, MD",Nielsen,10000+ Employees,Company - Public (NLSN),$5 to $10 billion (USD),"New York, NY",1923.0,Enterprise Software & Network Solutions,"Nielsen Data Scientist Salaries in Baltimore, MD Area",INTERNSHIP,"$58,381 - $63,193",0,0,0,0,0,0,0,0,Low Confidence,7.5k,713,0,1.8k,2.2k
"Baltimore, MD",US Department of Defense,10000+ Employees,Government,$10+ billion (USD),"Washington, DC",1947.0,Aerospace & Defense,"US Department of Defense Data Scientist Salaries in Baltimore, MD Area",INTERNSHIP,"$34,376 - $37,757",0,0,0,0,0,0,0,0,Low Confidence,3.2k,97,0,289,997
"Baltimore, MD",University of Missouri,10000+ Employees,College / University,$2 to $5 billion (USD),"Columbia, MO",1839.0,Colleges & Universities,"University of Missouri Data Scientist Salaries in Baltimore, MD Area",PART TIME,"$24,924 - $26,677",0,0,0,0,0,0,0,0,Low Confidence,1.5k,527,3.1k,136,404
"Baltimore, MD",General Dynamics Mission Systems,10000+ Employees,Subsidiary or Business Segment,$2 to $5 billion (USD),"Fairfax, VA",1952.0,Aerospace & Defense,"General Dynamics Mission Systems Data Scientist Salaries in Baltimore, MD Area",0,"$114,018 - $122,747",0,0,0,0,0,0,0,0,Low Confidence,1.4k,549,3.5k,233,344
"Baltimore, MD",Verizon Media,10000+ Employees,Subsidiary or Business Segment,Unknown / Non-Applicable,"New York, NY",,Internet,"Verizon Media Data Scientist Salaries in Baltimore, MD Area",0,"$202,613 - $222,389",0,0,0,0,0,0,0,0,Low Confidence,997,165,3.2k,164,493
"Baltimore, MD",MITRE,5001 to 10000 Employees,Nonprofit Organization,$1 to $2 billion (USD),"Bedford, MA",1958.0,Federal Agencies,"MITRE Data Scientist Salaries in Baltimore, MD Area",0,"$116,155 - $126,479",0,0,0,0,0,0,0,0,Low Confidence,1.4k,310,2.7k,304,519
"Baltimore, MD",Stanley Black & Decker,10000+ Employees,Company - Public (SWK),$10+ billion (USD),"New Britain, CT",1843.0,Industrial Manufacturing,"Stanley Black & Decker Data Scientist Salaries in Baltimore, MD Area",0,"$123,454 - $135,304",0,0,0,0,0,0,0,0,Low Confidence,2.3k,2.4k,3.2k,387,666
"Baltimore, MD",Johns Hopkins Medicine,5001 to 10000 Employees,Nonprofit Organization,Unknown / Non-Applicable,"Baltimore, MD",1890.0,Health Care Services & Hospitals,"Johns Hopkins Medicine Data Scientist Hourly Pay in Baltimore, MD Area",0,$26 - $28,0,0,0,0,0,0,0,0,Low Confidence,998,58,2.5k,126,264
"Baltimore, MD",TSA (Transportation Security Administration),10000+ Employees,Government,Unknown / Non-Applicable,"Arlington, VA",2002.0,Federal Agencies,"TSA (Transportation Security Administration) Data Scientist Salaries in Baltimore, MD Area",0,"$132,521 - $142,868",0,0,0,0,0,0,0,0,Low Confidence,1.7k,479,2.3k,245,634
"Baltimore, MD",Sabre,5001 to 10000 Employees,Company - Public (SABR),$2 to $5 billion (USD),"Southlake, TX",1960.0,Enterprise Software & Network Solutions,"Sabre Data Scientist Salaries in Baltimore, MD Area",0,"$122,179 - $131,641",0,0,0,0,0,0,0,0,Low Confidence,2.1k,351,3.3k,448,794
"Baltimore, MD",KBR,10000+ Employees,Company - Public (KBR),$5 to $10 billion (USD),"Houston, TX",1901.0,Construction,"KBR Data Scientist Salaries in Baltimore, MD Area",0,"$85,648 - $93,206",0,0,0,0,0,0,0,0,Low Confidence,2.0k,1.9k,3.3k,263,549
"Baltimore, MD",Sinclair Broadcast Group,5001 to 10000 Employees,Company - Public (SBGI),$2 to $5 billion (USD),"Hunt Valley, MD",1986.0,TV Broadcast & Cable Networks,"Sinclair Broadcast Group Data Scientist Salaries in Baltimore, MD Area",0,"$88,373 - $97,070",0,0,0,0,0,0,0,0,Low Confidence,809,585,2.3k,93,169
"Baltimore, MD",Social Security Administration,10000+ Employees,Government,Unknown / Non-Applicable,"Baltimore, MD",1937.0,Federal Agencies,"Social Security Administration Data Scientist Salaries in Baltimore, MD Area",0,"$134,348 - $146,901",0,0,0,0,0,0,0,0,Low Confidence,1.4k,64,2.0k,372,489
"Baltimore, MD",Perspecta,10000+ Employees,Company - Public (PRSP),Unknown / Non-Applicable,"Chantilly, VA",2018.0,Aerospace & Defense,"Perspecta Data Scientist Salaries in Baltimore, MD Area",0,"$86,086 - $92,531",0,0,0,0,0,0,0,0,Low Confidence,790,1,2.4k,62,230
"Baltimore, MD",Other,0,0,0,0,0.0,0,"Other Data Scientist Salaries in Baltimore, MD Area",0,"$94,451 - $101,211",0,0,0,0,0,0,0,0,Low Confidence,983,0,3.3k,24,51
"Baltimore, MD",0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Baltimore, MD",CareFirst BlueCross BlueShield,0,0,0,0,0.0,0,Data Scientist Salaries in MISSING VALUE,0,0,0,0,0,0,0,0,0,0,0,597,200,1.0k,105,290
"Baltimore, MD",DOD,0,0,0,0,0.0,0,Data Scientist Salaries in MISSING VALUE,0,0,0,0,0,0,0,0,0,0,0,340,0,894,6,30
"arlington, va",Booz Allen Hamilton,10000+ Employees,Company - Public (BAH),$5 to $10 billion (USD),"McLean, VA",1914.0,Consulting,"Booz Allen Hamilton Data Scientist Salaries in Washington, DC Area",0,"$90,107",$67K,$82K,$105K,$152K,"$4,085","$4,085 Avg","$4,085 Avg","$90,107",Very High Confidence,6.5k,2.7k,16k,1.7k,2.0k
"arlington, va",Booz Allen Hamilton,10000+ Employees,Company - Public (BAH),$5 to $10 billion (USD),"McLean, VA",1914.0,Consulting,"Booz Allen Hamilton Data Scientist Salaries in Washington, DC Area",0,"$90,107",$67K,$82K,$105K,$152K,"$4,085","$4,085 Avg","$4,085 Avg","$90,107",Very High Confidence,6.5k,2.7k,16k,1.7k,2.0k
"arlington, va",Oracle,10000+ Employees,Company - Public (ORCL),$10+ billion (USD),"Redwood City, CA",1977.0,Enterprise Software & Network Solutions,"Oracle Data Scientist Salaries in Washington, DC Area",0,"$144,854",$137K,$137K,$160K,$160K,0,0,0,"$144,854",Very High Confidence,36k,12k,79k,6.3k,13k
"arlington, va",Capital One,10000+ Employees,Company - Public (COF),$10+ billion (USD),"Mc Lean, VA",1994.0,Banks & Credit Unions,"Capital One Data Scientist Salaries in Washington, DC Area",0,"$126,364",$91K,$115K,$140K,$170K,"$8,282","$8,282 Avg","$8,282 Avg","$131,020",Very High Confidence,11k,22k,25k,5.3k,4.3k
"arlington, va",Satmap,0,0,0,0,0.0,0,"Satmap Data Scientist Salaries in Washington, DC Area",0,"$109,116",$109K,0,0,$109K,0,0,0,"$109,116",Very High Confidence,1,0,59,0,0
"arlington, va",Accenture,10000+ Employees,Company - Public (ACN),$10+ billion (USD),"Dublin, Ireland",1989.0,Consulting,"Accenture Data Scientist Salaries in Washington, DC Area",0,"$109,855",$92K,$102K,$117K,$136K,"$4,478","$4,478 Avg","$4,478 Avg","$112,379",Very High Confidence,95k,25k,135k,19k,24k
"arlington, va",Deloitte,10000+ Employees,Company - Private,$10+ billion (USD),"New York, NY",1850.0,Accounting,"Deloitte Data Scientist Salaries in Washington, DC Area",0,"$95,393",$69K,0,0,$131K,"$9,015","$9,015 Avg","$9,015 Avg","$96,788",Very High Confidence,64k,69k,214k,17k,15k
"arlington, va",Leidos,10000+ Employees,Company - Public (LDOS),$10+ billion (USD),"Reston, VA",1969.0,Aerospace & Defense,"Leidos Data Scientist Salaries in Washington, DC Area",0,"$137,170",$74K,0,0,$149K,0,0,0,"$137,170",Very High Confidence,2.6k,5.4k,9.4k,457,788
"arlington, va",MITRE,5001 to 10000 Employees,Nonprofit Organization,$1 to $2 billion (USD),"Bedford, MA",1958.0,Federal Agencies,"MITRE Data Scientist Salaries in Washington, DC Area",0,"$107,037",$93K,$98K,$117K,$178K,0,0,0,"$107,037",Very High Confidence,1.4k,310,2.7k,304,519
"arlington, va",IBM,10000+ Employees,Company - Public (IBM),$10+ billion (USD),"Armonk, NY",1911.0,IT Services,"IBM Data Scientist Salaries in Washington, DC Area",0,"$113,097",$79K,$84K,$145K,$224K,"$17,434","$33,584 Avg","$33,584 Avg","$113,097",Very High Confidence,76k,19k,127k,11k,22k
"arlington, va",Afiniti,501 to 1000 Employees,Company - Private,$50 to $100 million (USD),"Washington, DC",,Enterprise Software & Network Solutions,"Afiniti Data Scientist Salaries in Washington, DC Area",0,"$127,000",$120K,$124K,$131K,$132K,"$12,500","$10,000 Avg","$10,000 Avg","$130,336",Very High Confidence,266,53,308,72,43
"arlington, va",GEICO,10000+ Employees,Subsidiary or Business Segment,$10+ billion (USD),"Washington, DC",1936.0,Insurance Carriers,"GEICO Data Scientist Salaries in Washington, DC Area",0,"$110,000",$90K,$91K,$118K,$124K,"$7,120","$2,665 Avg","$2,665 Avg","$116,440",Very High Confidence,6.4k,282,9.6k,3.1k,1.9k
