Size,Revenue,Internship,Low,25_%,75_%,High,Cash_Bonus,Stock_Bonus,Total_Pay,Confidence,Reviews,Jobs,Salaries,Interviews,Benefits,Salary,Company_Type,Geo_Map,COL,Rent,COL_Plus_Rent,Purchasing_Power,Industry_Final,Age,Additional_Pay_bin
10000+ Employees,$5 to $10 billion (USD),0,80000,101000,151000,230000,10595,10595,129704,Very High Confidence,6500,2700,1600,12.639666071029552,2000,127210.0,Company - Public,NORTH_EAST,72.38,44.68,59.56,115.56,Other,107.0,High
10000+ Employees,$10+ billion (USD),0,73000,81000,108000,126000,2224,2224,89206,Very High Confidence,3200,97,6900,8.432375781188028,997,89206.0,Other,NORTH_EAST,72.38,44.68,59.56,115.56,Other,74.0,High
10000+ Employees,$5 to $10 billion (USD),0,75000,82000,90000,108000,0,0,85646,Very High Confidence,7500,713,1100,12.792556679357956,2200,85646.0,Company - Public,NORTH_EAST,72.38,44.68,59.56,115.56,Technology,98.0,Low
Less Than 1000,Unknown / Non-Applicable,0,66000,68000,83000,94000,4339,4339,73355,Very High Confidence,52,72,74,3.882877511378349,43,70119.0,Company - Private,NORTH_EAST,72.38,44.68,59.56,115.56,Other,19.0,High
10000+ Employees,$10+ billion (USD),0,101000,104000,143000,152000,0,0,108605,Very High Confidence,7800,3600,1900,12.639666071029552,2200,108605.0,Company - Public,NORTH_EAST,72.38,44.68,59.56,115.56,Other,82.0,Low
Unknown,Unknown / Non-Applicable,0,77000,81000,96000,105000,0,0,86430,High Confidence,266,80,505,6.577267306191946,86,86430.0,Other,NORTH_EAST,72.38,44.68,59.56,115.56,Other,0.0,Low
Less Than 1000,Less than 5 billion (USD),0,106000,106000,127000,134000,10093,10093,112386,High Confidence,343,157,615,6.371113168927639,162,107829.0,Company - Private,NORTH_EAST,72.38,44.68,59.56,115.56,Other,16.0,High
10000+ Employees,$10+ billion (USD),0,0,0,0,0,0,0,0,High Confidence,1100,6100,2500,13.46149324833579,3200,87656.0,Company - Public,NORTH_EAST,72.38,44.68,59.56,115.56,Other,45.0,Low
10000+ Employees,$10+ billion (USD),0,0,0,0,0,0,0,0,High Confidence,5200,2700,1100,12.12888027872853,2100,113328.0,Company - Public,NORTH_EAST,72.38,44.68,59.56,115.56,Technology,23.0,High
10000+ Employees,$10+ billion (USD),0,0,0,0,0,0,0,0,Low Confidence,9200,4100,2300,13.338569673668559,2700,114600.0,Company - Public,NORTH_EAST,72.38,44.68,59.56,115.56,Other,26.0,Low
10000+ Employees,$10+ billion (USD),0,0,0,0,0,0,0,0,Low Confidence,2600,5400,9400,9.427042467843222,788,165037.5,Company - Public,NORTH_EAST,72.38,44.68,59.56,115.56,Other,52.0,Low
1001 to 5000 Employees,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,Low Confidence,2800,12,5800,7.73599438436736,1100,87023.5,Other,NORTH_EAST,72.38,44.68,59.56,115.56,Other,0.0,Low
5001 to 10000 Employees,Less than 5 billion (USD),0,0,0,0,0,0,0,0,Low Confidence,733,328,1500,7.489093082454242,272,113397.0,Other,NORTH_EAST,72.38,44.68,59.56,115.56,Other,79.0,Low
10000+ Employees,$5 to $10 billion (USD),0,0,0,0,0,0,0,0,Low Confidence,445,591,642,5.996953092506443,112,114449.5,Company - Public,NORTH_EAST,72.38,44.68,59.56,115.56,Other,132.0,High
Unknown,Unknown / Non-Applicable,0,0,0,0,0,0,0,0,Low Confidence,0,0,4,0.0,0,76738.5,Other,NORTH_EAST,72.38,44.68,59.56,115.56,Other,35.0,Low
10000+ Employees,$10+ billion (USD),0,0,0,0,0,0,0,0,Low Confidence,2500,756,5500,15.474695589429164,9200,127825.0,Company - Private,NORTH_EAST,72.38,44.68,59.56,115.56,Technology,37.0,Low
10000+ Employees,$5 to $10 billion (USD),0,0,0,0,0,0,0,0,Low Confidence,4800,1500,9000,11.93735402368381,9500,117874.5,Company - Private,NORTH_EAST,72.38,44.68,59.56,115.56,Finance,23.0,Low
